date,price
2025-06-18,38885
2025-06-19,38488
2025-06-20,38403
2025-06-23,38354
2025-06-24,38790
2025-06-25,38942
2025-06-26,39584
2025-06-27,40150
2025-06-30,40487
2025-07-01,39986
2025-07-02,39762
2025-07-03,39785
2025-07-04,39810
2025-07-07,39587
2025-07-08,39688
2025-07-09,39821
2025-07-10,39646
2025-07-11,39569
2025-07-14,39459
2025-07-15,39678
2025-07-16,39663
2025-07-17,39901
2025-07-18,39819
2025-07-22,39774
2025-07-23,41171
2025-07-24,41826
2025-07-25,41456
2025-07-28,40998
2025-07-29,40674
2025-07-30,40654
2025-07-31,41069
2025-08-01,40799
2025-08-04,40290
2025-08-05,40549
2025-08-06,40794
2025-08-07,41059
2025-08-08,41820
2025-08-12,42718
2025-08-13,43274
2025-08-14,42649
2025-08-15,43378
2025-08-18,43714
2025-08-19,43546
2025-08-20,42888
2025-08-21,42610
2025-08-22,42633
2025-08-25,42807
2025-08-26,42394
2025-08-27,42520
2025-08-28,42828
2025-08-29,42718
2025-09-01,42188
2025-09-02,42310
2025-09-03,41938
2025-09-04,42580
2025-09-05,43018
2025-09-08,43643
2025-09-09,43459
2025-09-10,43837
2025-09-11,44372
2025-09-12,44768
2025-09-16,44902
2025-09-17,44790
2025-09-18,45303
2025-09-19,45045
2025-09-22,45493
2025-09-24,45630
2025-09-25,45754
2025-09-26,45354
2025-09-29,45043
2025-09-30,44932
2025-10-01,44550
2025-10-02,44936
2025-10-03,45769
2025-10-06,47944
2025-10-07,47950
2025-10-08,47734
2025-10-09,48580
2025-10-10,48088
2025-10-14,46847
2025-10-15,47672
2025-10-16,48277
2025-10-17,47582
2025-10-20,49185
2025-10-21,49316
2025-10-22,49307
2025-10-23,48641
2025-10-24,49299
2025-10-27,50512
2025-10-28,50219
2025-10-29,51307
2025-10-30,51325
2025-10-31,52411
2025-11-04,51497
2025-11-05,50212
2025-11-06,50883
2025-11-07,50276
2025-11-10,50911
2025-11-11,50842
2025-11-12,51063
2025-11-13,51281
2025-11-14,50376
2025-11-17,50323
2025-11-18,48702
2025-11-19,48537
2025-11-20,49823
2025-11-21,48625
2025-11-25,48659
2025-11-26,49559
2025-11-27,50167
2025-11-28,50253
2025-12-01,49303
2025-12-02,49303
2025-12-03,49864
2025-12-04,51028
2025-12-05,50491
2025-12-08,50581
2025-12-09,50655
2025-12-10,50602
2025-12-11,50148
2025-12-12,50836
2025-12-15,50168
2025-12-16,49383
2025-12-17,49512
2025-12-18,49001
2025-12-19,49507
2025-12-22,50402
2025-12-23,50412
2025-12-24,50344
2025-12-25,50407
2025-12-26,50750
2025-12-29,50526
2025-12-30,50339
2026-01-05,51832
2026-01-06,52518
2026-01-07,51961
2026-01-08,51117
2026-01-09,51939
2026-01-13,53549
2026-01-14,54341
2026-01-15,54110
2026-01-16,53936
2026-01-19,53583
2026-01-20,52991
2026-01-21,52774
2026-01-22,53688
2026-01-23,53846
2026-01-26,52885
2026-01-27,53333
2026-01-28,53358
2026-01-29,53375
2026-01-30,53322
2026-02-02,52655
2026-02-03,54720
2026-02-04,54293
2026-02-05,53818
2026-02-06,54253
2026-02-09,56363
2026-02-10,57650
2026-02-12,57639
2026-02-13,56941
2026-02-16,56806
2026-02-17,56566
2026-02-18,57143
2026-02-19,57467
2026-02-20,56825
2026-02-24,57321
2026-02-25,58583
2026-02-26,58753
2026-02-27,58850
2026-03-02,58057
2026-03-03,56279
2026-03-04,54245
2026-03-05,55278
2026-03-06,55620
2026-03-09,52728
2026-03-10,54248
2026-03-11,55025
2026-03-12,54452
2026-03-13,53819
2026-03-16,53751
2026-03-17,53700
2026-03-18,55239
2026-03-19,53372
2026-03-23,51515
2026-03-24,52252
2026-03-25,53749
2026-03-26,53603
2026-03-27,53373
2026-03-30,51885
2026-03-31,51063
