date,price
1988-08-03,28348.44921875
1988-08-04,28292.66015625
1988-08-05,28423.380859375
1988-08-08,28253.119140625
1988-08-09,28170.359375
1988-08-10,27554.869140625
1988-08-11,27784.98046875
1988-08-12,27833.509765625
1988-08-15,27901.2890625
1988-08-16,27896.55078125
1988-08-17,28178.859375
1988-08-18,28129.359375
1988-08-19,28209.419921875
1988-08-22,28079.1796875
1988-08-23,27919.94921875
1988-08-24,27799.669921875
1988-08-25,27870.439453125
1988-08-26,27565.41015625
1988-08-29,27379.099609375
1988-08-30,27511.650390625
1988-08-31,27365.94921875
1988-09-01,26934.259765625
1988-09-02,27116.5
1988-09-05,27341.580078125
1988-09-06,27320.509765625
1988-09-07,27504.009765625
1988-09-08,27740.109375
1988-09-09,27647.099609375
1988-09-12,27756.740234375
1988-09-13,27794.16015625
1988-09-14,27805.669921875
1988-09-16,27866.380859375
1988-09-19,27901.0
1988-09-20,27548.580078125
1988-09-21,27712.66015625
1988-09-22,27428.310546875
1988-09-26,27333.75
1988-09-27,27499.560546875
1988-09-28,27752.009765625
1988-09-29,27700.130859375
1988-09-30,27923.669921875
1988-10-03,27545.529296875
1988-10-04,27501.01953125
1988-10-05,27405.490234375
1988-10-06,27172.33984375
1988-10-07,27258.26953125
1988-10-11,27469.599609375
1988-10-12,27409.369140625
1988-10-13,27273.30078125
1988-10-14,27306.5703125
1988-10-17,27268.740234375
1988-10-18,27141.98046875
1988-10-19,27293.669921875
1988-10-20,27390.55078125
1988-10-21,27401.419921875
1988-10-24,27281.5390625
1988-10-25,27421.490234375
1988-10-26,27620.599609375
1988-10-27,27722.919921875
1988-10-28,27741.33984375
1988-10-31,27982.5390625
1988-11-01,28013.669921875
1988-11-02,27985.259765625
1988-11-04,27953.25
1988-11-07,27866.359375
1988-11-08,28007.26953125
1988-11-09,28212.779296875
1988-11-10,28166.419921875
1988-11-11,28489.5703125
1988-11-14,28520.900390625
1988-11-15,28829.41015625
1988-11-16,28996.119140625
1988-11-17,29076.810546875
1988-11-18,29180.19921875
1988-11-21,29284.259765625
1988-11-22,29430.119140625
1988-11-24,29340.029296875
1988-11-25,29406.650390625
1988-11-28,28983.3203125
1988-11-29,29318.30078125
1988-11-30,29578.900390625
1988-12-01,29541.4609375
1988-12-02,29532.25
1988-12-05,29614.6796875
1988-12-06,29669.380859375
1988-12-07,30050.8203125
1988-12-08,29758.900390625
1988-12-09,29793.419921875
1988-12-12,29672.2890625
1988-12-13,29597.810546875
1988-12-14,29754.73046875
1988-12-15,29705.75
1988-12-16,29536.7109375
1988-12-19,29470.080078125
1988-12-20,29567.939453125
1988-12-21,29698.189453125
1988-12-22,29774.609375
1988-12-23,29686.259765625
1988-12-26,29868.009765625
1988-12-27,30050.9296875
1988-12-28,30159.0
1989-01-04,30243.66015625
1989-01-05,30183.7890625
1989-01-06,30209.5390625
1989-01-09,30678.390625
1989-01-10,31006.509765625
1989-01-11,31143.44921875
1989-01-12,31143.44921875
1989-01-13,31298.380859375
1989-01-17,31227.51953125
1989-01-18,31354.55078125
1989-01-19,31311.400390625
1989-01-20,31170.380859375
1989-01-23,31332.880859375
1989-01-24,31557.6796875
1989-01-25,31567.7890625
1989-01-26,31511.810546875
1989-01-27,31646.130859375
1989-01-30,31567.5
1989-01-31,31581.30078125
1989-02-01,31360.6796875
1989-02-02,31498.30078125
1989-02-03,31685.779296875
1989-02-06,31828.75
1989-02-07,31880.650390625
1989-02-08,32065.119140625
1989-02-09,32078.4296875
1989-02-10,32131.990234375
1989-02-13,31985.3203125
1989-02-14,31982.890625
1989-02-15,32149.48046875
1989-02-16,32083.580078125
1989-02-17,32173.390625
1989-02-20,32177.080078125
1989-02-21,31980.080078125
1989-02-22,32311.9296875
1989-02-23,32452.490234375
1989-02-27,32285.76953125
1989-02-28,31985.599609375
1989-03-01,31964.30078125
1989-03-02,32073.73046875
1989-03-03,32000.099609375
1989-03-06,31876.859375
1989-03-07,31937.939453125
1989-03-08,31837.66015625
1989-03-09,31656.44921875
1989-03-10,31701.779296875
1989-03-13,31552.9609375
1989-03-14,31724.349609375
1989-03-15,32100.48046875
1989-03-16,32098.240234375
1989-03-17,32021.009765625
1989-03-20,31654.80078125
1989-03-22,31443.240234375
1989-03-23,31588.66015625
1989-03-24,31568.51953125
1989-03-27,31512.400390625
1989-03-28,32306.359375
1989-03-29,32737.279296875
1989-03-30,32826.12890625
1989-03-31,32838.6796875
1989-04-03,33042.0703125
1989-04-04,33312.25
1989-04-05,33360.7890625
1989-04-06,32995.78125
1989-04-07,33185.05078125
1989-04-10,32999.01953125
1989-04-11,33249.578125
1989-04-12,33256.44921875
1989-04-13,33063.94140625
1989-04-14,33150.44140625
1989-04-17,33308.328125
1989-04-18,33321.66015625
1989-04-19,33363.828125
1989-04-20,33185.1484375
1989-04-21,33029.80859375
1989-04-24,32805.921875
1989-04-25,33244.78125
1989-04-26,33434.9296875
1989-04-27,33500.828125
1989-04-28,33713.3515625
1989-05-01,33793.171875
1989-05-02,33954.98828125
1989-05-08,34135.23828125
1989-05-09,34031.87109375
1989-05-10,33992.3515625
1989-05-11,34081.48828125
1989-05-12,33866.328125
1989-05-15,33716.2890625
1989-05-16,33926.44921875
1989-05-17,33992.44921875
1989-05-18,33856.328125
1989-05-19,34001.9609375
1989-05-22,34067.859375
1989-05-23,33816.609375
1989-05-24,33851.8203125
1989-05-25,34005.390625
1989-05-26,34191.62109375
1989-05-29,34160.828125
1989-05-30,34076.890625
1989-05-31,34266.75
1989-06-01,33981.3515625
1989-06-02,33667.421875
1989-06-05,33457.078125
1989-06-06,33452.01171875
1989-06-07,33626.890625
1989-06-08,33718.2890625
1989-06-09,33639.98046875
1989-06-12,33398.01171875
1989-06-13,33213.55078125
1989-06-14,33402.98828125
1989-06-15,32913.08984375
1989-06-16,33055.171875
1989-06-19,33013.1796875
1989-06-20,33233.46875
1989-06-21,33345.28125
1989-06-22,33324.96875
1989-06-23,33530.7109375
1989-06-26,33625.8203125
1989-06-27,33469.2109375
1989-06-28,33245.6015625
1989-06-29,32956.30859375
1989-06-30,32948.69140625
1989-07-03,33236.421875
1989-07-04,33190.37890625
1989-07-05,33309.7109375
1989-07-06,33423.48046875
1989-07-07,33703.96875
1989-07-10,33676.01953125
1989-07-11,33746.76953125
1989-07-12,33701.51953125
1989-07-13,33631.16015625
1989-07-14,33574.76953125
1989-07-17,33456.21875
1989-07-18,33343.73046875
1989-07-19,33557.171875
1989-07-20,33664.87109375
1989-07-21,33899.4296875
1989-07-24,34093.328125
1989-07-25,34538.8984375
1989-07-26,34515.828125
1989-07-27,34785.28125
1989-07-28,34705.62890625
1989-07-31,34953.87109375
1989-08-01,34898.4609375
1989-08-02,34899.33984375
1989-08-03,34779.80859375
1989-08-04,34741.98828125
1989-08-07,34630.37890625
1989-08-08,34759.48046875
1989-08-09,34859.26953125
1989-08-10,34719.80078125
1989-08-11,34712.9609375
1989-08-14,34671.62109375
1989-08-15,34810.69140625
1989-08-16,35084.1484375
1989-08-17,35090.109375
1989-08-18,35063.140625
1989-08-21,35140.828125
1989-08-22,35114.3515625
1989-08-23,34893.28125
1989-08-24,34786.55078125
1989-08-25,34739.9296875
1989-08-28,34607.41015625
1989-08-29,34687.6484375
1989-08-30,34471.66015625
1989-08-31,34431.19921875
1989-09-01,34348.21875
1989-09-04,34483.78125
1989-09-05,34441.94921875
1989-09-06,34271.30859375
1989-09-07,34152.55859375
1989-09-08,34115.80859375
1989-09-11,34113.66015625
1989-09-12,34332.87890625
1989-09-13,34286.94140625
1989-09-14,34401.87890625
1989-09-18,34472.5390625
1989-09-19,34471.0703125
1989-09-20,34470.578125
1989-09-21,34745.01953125
1989-09-22,34771.7890625
1989-09-25,34960.7109375
1989-09-26,35444.8203125
1989-09-27,35370.5703125
1989-09-28,35689.98046875
1989-09-29,35636.76171875
1989-10-02,35622.96875
1989-10-03,35366.37109375
1989-10-04,35382.80078125
1989-10-05,35522.98828125
1989-10-06,35209.3515625
1989-10-09,35376.3515625
1989-10-11,35240.0703125
1989-10-12,34795.05078125
1989-10-13,35116.01953125
1989-10-16,34468.69140625
1989-10-17,34996.078125
1989-10-18,35107.55859375
1989-10-19,35374.21875
1989-10-20,35486.37890625
1989-10-23,35585.51953125
1989-10-24,35526.55078125
1989-10-25,35442.3984375
1989-10-26,35678.48828125
1989-10-27,35527.2890625
1989-10-30,35417.44140625
1989-10-31,35549.44140625
1989-11-01,35564.4296875
1989-11-02,35494.859375
1989-11-06,35434.0
1989-11-07,35270.4609375
1989-11-08,35595.58984375
1989-11-09,35657.421875
1989-11-10,35663.19921875
1989-11-13,35750.12109375
1989-11-14,35768.640625
1989-11-15,35852.23046875
1989-11-16,35876.33984375
1989-11-17,35963.73828125
1989-11-20,35893.578125
1989-11-21,36059.87109375
1989-11-22,36286.921875
1989-11-24,36484.46875
1989-11-27,36881.53125
1989-11-28,36985.30078125
1989-11-29,37021.4609375
1989-11-30,37268.7890625
1989-12-01,37132.6796875
1989-12-04,37303.87109375
1989-12-05,37494.171875
1989-12-06,37654.2890625
1989-12-07,37858.109375
1989-12-08,37724.05859375
